sym,decision_date,intent,recommendation,risk_reward_ratio,Rank,quant_score,sa_score,ws_score,perf_6m,return_1w,return_2w,return_4w
EAT,2026-04-21,NEUTRAL,WATCH,0.9,667,3.99,3.5,4.43,0.3511,-0.12101824537402363,-0.013476705408342891,
IAG,2026-04-21,ENTER_NOW,BUY,2.33,495,4.5,3.5,4.16,0.4748,-0.04016299353212082,-0.05064031048065291,
PEGA,2026-04-21,AVOID,AVOID,0.3,1780,3.17,,4.58,-0.3912,-0.09602817786644909,-0.07114125784465933,
SAFRY,2026-04-21,NEUTRAL,WATCH,0.5,3238,2.67,5.0,5.0,-0.0338,-0.04548193091347532,-0.04017375366638015,
VSEC,2026-04-21,ENTER_LIMIT,BUY_LIMIT,1.0,2033,3.08,3.0,4.88,0.0923,-0.10303554746688622,-0.09631255640327367,
ORLA,2026-04-21,ENTER_LIMIT,BUY_LIMIT,0.5,642,4.07,3.5,4.27,0.5146,-0.09561753747947666,-0.10823371147571177,
PRU,2026-04-21,AVOID,AVOID,,1998,3.09,4.0,2.72,-0.0516,0.010742633105020646,0.04578636465442648,
DTEGY,2026-04-22,AVOID,AVOID,0.6,123,4.9,3.0,4.33,0.0401,-0.014241481344028067,0.013003133767898696,
QXO,2026-04-22,NEUTRAL,WATCH,1.3,2003,3.09,3.5,4.85,0.0913,-0.06973431639698463,-0.06356737328661453,
TEL,2026-04-22,NEUTRAL,WATCH,0.2,1389,3.3,3.0,4.31,-0.1494,-0.05165642471006795,-0.0012013206628225953,
BBY,2026-04-22,AVOID,AVOID,0.9,2840,2.81,3.2,3.45,-0.2484,-0.0710218357760783,-0.07165456142503977,
EFX,2026-04-22,AVOID,AVOID,0.2,2806,2.82,3.0,4.25,-0.153,-0.0356544229429208,-0.03207780849311395,
FICO,2026-04-22,AVOID,AVOID,1.0,2151,3.04,3.2,4.14,-0.3529,0.09241738987743191,0.11694415802613883,
IP,2026-04-22,NEUTRAL,WATCH,1.9,3173,2.69,2.33,4.25,-0.1331,0.01834728828065765,0.016527686361294022,
UAL,2026-04-22,AVOID,AVOID,0.3,1925,3.12,4.0,4.65,0.0221,-0.023793756922427516,0.10200485696769489,
VSEC,2026-04-23,AVOID,AVOID,0.2,2033,3.08,3.0,4.88,0.0923,-0.06108836381853292,0.09078477959115228,
ADBE,2026-04-23,ENTER_LIMIT,BUY_LIMIT,1.3,1840,3.15,4.13,3.53,-0.2261,0.04598778520705382,0.09023295548123512,
CAR,2026-04-23,AVOID,AVOID,0.1,2617,2.88,2.2,2.5,0.017,-0.4245628621557942,-0.5093161844807028,
CRL,2026-04-23,NEUTRAL,WATCH,0.9,2014,3.09,2.0,4.23,0.0569,-0.017216508898418935,0.06936633023797781,
CRM,2026-04-23,NEUTRAL,WATCH,0.5,1673,3.21,4.04,4.4,-0.242,0.01712277944399559,0.07364559172594914,
FCX,2026-04-23,AVOID,AVOID,0.2,653,4.03,3.83,4.31,0.5486,-0.07150893814403217,-0.026032450420190173,
IBM,2026-04-24,ENTER_NOW,BUY,0.0,1640,3.22,3.0,3.95,-0.2501,0.004846793094349035,-0.005712331197698092,
IQV,2026-04-24,ENTER_NOW,BUY,1.0,2456,2.94,4.0,4.65,-0.1509,-0.018110503656578722,0.11221064671313903,
LVS,2026-04-24,AVOID,AVOID,0.6,751,3.74,3.0,4.3,-0.1856,0.03541868942304795,0.022329174405227328,
MEDP,2026-04-24,AVOID,AVOID,1.6,2769,2.83,3.66,3.46,-0.2803,0.06130854695979324,0.07772863606324026,
NOW,2026-04-24,NEUTRAL,WATCH,2.0,2868,2.8,3.93,4.56,-0.471,0.07525364074203084,0.07548950584071455,
TMO,2026-04-24,NEUTRAL,WATCH,1.9,1563,3.24,3.75,4.65,-0.1876,0.0053781689630986425,-0.0036425969573601643,
WDAY,2026-04-24,AVOID,AVOID,0.9,3888,2.09,4.0,4.04,-0.4323,0.10717710896025687,0.11476412166263789,
