strategy,symbol,decision_date,intent,rr,entry,exit_reason,exit_day,exit_return,gross_eur,net_eur
BREAKEVEN-TRAIL — best (trigger=15.0%),NOW,2026-04-09,ENTER_NOW,2.3,89.735,TIMEOUT,5,0.07472003612198418,56.040027091488135,50.040027091488135
BREAKEVEN-TRAIL — best (trigger=15.0%),TEAM,2026-04-09,ENTER_NOW,2.8,58.5,TIMEOUT,5,0.1748718522552751,131.15388919145633,125.15388919145633
BREAKEVEN-TRAIL — best (trigger=15.0%),DOCN,2026-04-10,ENTER_LIMIT,2.11,75.59,BE_TRAIL,5,0.13720601487213333,102.90451115409999,96.90451115409999
BREAKEVEN-TRAIL — best (trigger=15.0%),NICE,2026-04-11,ENTER_NOW,3.07,97.0,TIMEOUT,5,0.08793813174532861,65.95359880899646,59.95359880899646
BREAKEVEN-TRAIL — best (trigger=15.0%),PPERF,2026-04-11,ENTER_NOW,2.2,0.26,TIMEOUT,5,-3.667978143440109e-08,-2.750983607580082e-05,-6.000027509836076
BREAKEVEN-TRAIL — best (trigger=15.0%),IAG,2026-04-21,ENTER_NOW,2.33,17.18,TIMEOUT,5,-0.04016299353212082,-30.122245149090617,-36.12224514909062
BREAKEVEN-TRAIL — best (trigger=15.0%),NMR,2026-04-24,ENTER_NOW,2.0,7.835,TIMEOUT,5,-0.003190817769043899,-2.3931133267829243,-8.393113326782924
BREAKEVEN-TRAIL — best (trigger=15.0%),LBRDP,2026-04-24,ENTER_NOW,4.0,21.965,TIMEOUT,5,-0.0029592707247769823,-2.2194530435827367,-8.219453043582737
BREAKEVEN-TRAIL — best (trigger=15.0%),DPZ,2026-04-27,ENTER_NOW,1.96,333.4501,TIMEOUT,5,-0.009087076513894118,-6.815307385420589,-12.815307385420589
BREAKEVEN-TRAIL — best (trigger=15.0%),ZBH,2026-04-28,ENTER_NOW,2.16,86.05,TIMEOUT,5,-0.03532827267599684,-26.496204506997632,-32.49620450699763
BREAKEVEN-TRAIL — best (trigger=15.0%),ALLE,2026-04-28,ENTER_NOW,2.0,137.33,TIMEOUT,5,-0.03669996878953761,-27.524976592153205,-33.52497659215321
BREAKEVEN-TRAIL — best (trigger=15.0%),REGN,2026-04-29,ENTER_NOW,2.35,686.265,TIMEOUT,5,0.05068739888085326,38.01554916063994,32.01554916063994
BREAKEVEN-TRAIL — best (trigger=15.0%),CAH,2026-04-30,ENTER_NOW,1.63,188.3,TIMEOUT,5,-0.016038243338837684,-12.028682504128263,-18.028682504128263
BREAKEVEN-TRAIL — best (trigger=15.0%),WTW,2026-04-30,ENTER_NOW,2.24,248.99,TIMEOUT,5,0.03646735742085522,27.350518065641413,21.350518065641413
BREAKEVEN-TRAIL — best (trigger=15.0%),JLL,2026-04-30,ENTER_NOW,1.75,313.78,TIMEOUT,5,0.045509584927636494,34.13218869572737,28.132188695727372
BREAKEVEN-TRAIL — best (trigger=15.0%),CLX,2026-05-01,ENTER_LIMIT,1.86,87.805,TIMEOUT,5,0.049598583931545676,37.19893794865926,31.198937948659257
TIME-DECAY — best (day=3 threshold=-2.0%),ADSK,2026-04-09,ENTER_NOW,2.3,218.6,TIMEOUT,5,0.11235134337652965,84.26350753239724,78.26350753239724
TIME-DECAY — best (day=3 threshold=-2.0%),GWRE,2026-04-09,ENTER_LIMIT,1.55,125.795,TIMEOUT,5,0.1058468191132522,79.38511433493915,73.38511433493915
TIME-DECAY — best (day=3 threshold=-2.0%),NOW,2026-04-09,ENTER_NOW,2.3,89.735,TIME_DECAY,3,-0.021674921540899936,-16.25619115567495,-22.25619115567495
TIME-DECAY — best (day=3 threshold=-2.0%),TEAM,2026-04-09,ENTER_NOW,2.8,58.5,TIMEOUT,5,0.1748718522552751,131.15388919145633,125.15388919145633
TIME-DECAY — best (day=3 threshold=-2.0%),DOCN,2026-04-10,ENTER_LIMIT,2.11,75.59,TIMEOUT,5,0.13282176549038185,99.61632411778639,93.61632411778639
TIME-DECAY — best (day=3 threshold=-2.0%),NICE,2026-04-11,ENTER_NOW,3.07,97.0,TIMEOUT,5,0.08793813174532861,65.95359880899646,59.95359880899646
TIME-DECAY — best (day=3 threshold=-2.0%),PPERF,2026-04-11,ENTER_NOW,2.2,0.26,TIMEOUT,5,-3.667978143440109e-08,-2.750983607580082e-05,-6.000027509836076
TIME-DECAY — best (day=3 threshold=-2.0%),IAG,2026-04-21,ENTER_NOW,2.33,17.18,TIMEOUT,5,-0.04016299353212082,-30.122245149090617,-36.12224514909062
TIME-DECAY — best (day=3 threshold=-2.0%),NMR,2026-04-24,ENTER_NOW,2.0,7.835,TIMEOUT,5,-0.003190817769043899,-2.3931133267829243,-8.393113326782924
TIME-DECAY — best (day=3 threshold=-2.0%),LBRDP,2026-04-24,ENTER_NOW,4.0,21.965,TIMEOUT,5,-0.0029592707247769823,-2.2194530435827367,-8.219453043582737
TIME-DECAY — best (day=3 threshold=-2.0%),DPZ,2026-04-27,ENTER_NOW,1.96,333.4501,TIMEOUT,5,-0.009087076513894118,-6.815307385420589,-12.815307385420589
TIME-DECAY — best (day=3 threshold=-2.0%),ZBH,2026-04-28,ENTER_NOW,2.16,86.05,TIME_DECAY,3,-0.036606606323313085,-27.454954742484812,-33.454954742484816
TIME-DECAY — best (day=3 threshold=-2.0%),ALLE,2026-04-28,ENTER_NOW,2.0,137.33,TIMEOUT,5,-0.03669996878953761,-27.524976592153205,-33.52497659215321
TIME-DECAY — best (day=3 threshold=-2.0%),REGN,2026-04-29,ENTER_NOW,2.35,686.265,TIMEOUT,5,0.05068739888085326,38.01554916063994,32.01554916063994
TIME-DECAY — best (day=3 threshold=-2.0%),CAH,2026-04-30,ENTER_NOW,1.63,188.3,TIMEOUT,5,-0.016038243338837684,-12.028682504128263,-18.028682504128263
TIME-DECAY — best (day=3 threshold=-2.0%),WTW,2026-04-30,ENTER_NOW,2.24,248.99,TIMEOUT,5,0.03646735742085522,27.350518065641413,21.350518065641413
TIME-DECAY — best (day=3 threshold=-2.0%),JLL,2026-04-30,ENTER_NOW,1.75,313.78,TIMEOUT,5,0.045509584927636494,34.13218869572737,28.132188695727372
TIME-DECAY — best (day=3 threshold=-2.0%),CLX,2026-05-01,ENTER_LIMIT,1.86,87.805,TIMEOUT,5,0.049598583931545676,37.19893794865926,31.198937948659257
MULTI-TIER TP — best (TP1=10.0%),ADSK,2026-04-09,ENTER_NOW,2.3,218.6,TP1=10%|TP2=21%,5,0.10617567168826483,79.63175376619863,73.63175376619863
MULTI-TIER TP — best (TP1=10.0%),GWRE,2026-04-09,ENTER_LIMIT,1.55,125.795,TP1=10%|TP2=21%,5,0.1029234095566261,77.19255716746957,71.19255716746957
MULTI-TIER TP — best (TP1=10.0%),NOW,2026-04-09,ENTER_NOW,2.3,89.735,TP1=10%|TP2=21%,5,0.08736001806099208,65.52001354574406,59.520013545744064
MULTI-TIER TP — best (TP1=10.0%),TEAM,2026-04-09,ENTER_NOW,2.8,58.5,TP1=10%|TP2=21%,5,0.155,116.25,110.25
MULTI-TIER TP — best (TP1=10.0%),DOCN,2026-04-10,ENTER_LIMIT,2.11,75.59,TP1=10%|TP2=21%,5,0.155,116.25,110.25
MULTI-TIER TP — best (TP1=10.0%),NICE,2026-04-11,ENTER_NOW,3.07,97.0,TP1=10%|TP2=21%,5,0.0939690658726643,70.47679940449822,64.47679940449822
MULTI-TIER TP — best (TP1=10.0%),PPERF,2026-04-11,ENTER_NOW,2.2,0.26,TP1=10%|TP2=21%,5,-3.667978143440109e-08,-2.750983607580082e-05,-6.000027509836076
MULTI-TIER TP — best (TP1=10.0%),IAG,2026-04-21,ENTER_NOW,2.33,17.18,TP1=10%|TP2=21%,5,-0.04016299353212082,-30.122245149090617,-36.12224514909062
MULTI-TIER TP — best (TP1=10.0%),NMR,2026-04-24,ENTER_NOW,2.0,7.835,TP1=10%|TP2=21%,5,-0.003190817769043899,-2.3931133267829243,-8.393113326782924
MULTI-TIER TP — best (TP1=10.0%),LBRDP,2026-04-24,ENTER_NOW,4.0,21.965,TP1=10%|TP2=21%,5,-0.0029592707247769823,-2.2194530435827367,-8.219453043582737
MULTI-TIER TP — best (TP1=10.0%),DPZ,2026-04-27,ENTER_NOW,1.96,333.4501,TP1=10%|TP2=21%,5,-0.009087076513894118,-6.815307385420589,-12.815307385420589
MULTI-TIER TP — best (TP1=10.0%),ZBH,2026-04-28,ENTER_NOW,2.16,86.05,TP1=10%|TP2=21%,5,-0.03532827267599684,-26.496204506997632,-32.49620450699763
MULTI-TIER TP — best (TP1=10.0%),ALLE,2026-04-28,ENTER_NOW,2.0,137.33,TP1=10%|TP2=21%,5,-0.03669996878953761,-27.524976592153205,-33.52497659215321
MULTI-TIER TP — best (TP1=10.0%),REGN,2026-04-29,ENTER_NOW,2.35,686.265,TP1=10%|TP2=21%,5,0.05068739888085326,38.01554916063994,32.01554916063994
MULTI-TIER TP — best (TP1=10.0%),CAH,2026-04-30,ENTER_NOW,1.63,188.3,TP1=10%|TP2=21%,5,-0.016038243338837684,-12.028682504128263,-18.028682504128263
MULTI-TIER TP — best (TP1=10.0%),WTW,2026-04-30,ENTER_NOW,2.24,248.99,TP1=10%|TP2=21%,5,0.03646735742085522,27.350518065641413,21.350518065641413
MULTI-TIER TP — best (TP1=10.0%),JLL,2026-04-30,ENTER_NOW,1.75,313.78,TP1=10%|TP2=21%,5,0.045509584927636494,34.13218869572737,28.132188695727372
MULTI-TIER TP — best (TP1=10.0%),CLX,2026-05-01,ENTER_LIMIT,1.86,87.805,TP1=10%|TP2=21%,5,0.049598583931545676,37.19893794865926,31.198937948659257
ORACLE (hindsight: exit at max close),ADSK,2026-04-09,ENTER_NOW,2.3,218.6,ORACLE,5,0.11235134337652965,84.26350753239724,78.26350753239724
ORACLE (hindsight: exit at max close),GWRE,2026-04-09,ENTER_LIMIT,1.55,125.795,ORACLE,5,0.1058468191132522,79.38511433493915,73.38511433493915
ORACLE (hindsight: exit at max close),NOW,2026-04-09,ENTER_NOW,2.3,89.735,ORACLE,5,0.07472003612198418,56.040027091488135,50.040027091488135
ORACLE (hindsight: exit at max close),TEAM,2026-04-09,ENTER_NOW,2.8,58.5,ORACLE,5,0.1748718522552751,131.15388919145633,125.15388919145633
ORACLE (hindsight: exit at max close),DOCN,2026-04-10,ENTER_LIMIT,2.11,75.59,ORACLE,4,0.1698637426270112,127.3978069702584,121.3978069702584
ORACLE (hindsight: exit at max close),NICE,2026-04-11,ENTER_NOW,3.07,97.0,ORACLE,5,0.08793813174532861,65.95359880899646,59.95359880899646
ORACLE (hindsight: exit at max close),PPERF,2026-04-11,ENTER_NOW,2.2,0.26,ORACLE,1,-3.667978143440109e-08,-2.750983607580082e-05,-6.000027509836076
ORACLE (hindsight: exit at max close),IAG,2026-04-21,ENTER_NOW,2.33,17.18,ORACLE,1,0.00873107821339086,6.548308660043145,0.548308660043145
ORACLE (hindsight: exit at max close),NMR,2026-04-24,ENTER_NOW,2.0,7.835,ORACLE,4,0.028717347749419177,21.538010812064382,15.538010812064382
ORACLE (hindsight: exit at max close),LBRDP,2026-04-24,ENTER_NOW,4.0,21.965,ORACLE,1,0.01980421664148753,14.853162481115646,8.853162481115646
ORACLE (hindsight: exit at max close),DPZ,2026-04-27,ENTER_NOW,1.96,333.4501,ORACLE,1,0.021022310249953755,15.766732687465316,9.766732687465316
ORACLE (hindsight: exit at max close),ZBH,2026-04-28,ENTER_NOW,2.16,86.05,ORACLE,5,-0.03532827267599684,-26.496204506997632,-32.49620450699763
ORACLE (hindsight: exit at max close),ALLE,2026-04-28,ENTER_NOW,2.0,137.33,ORACLE,2,0.001092228409954489,0.8191713074658667,-5.180828692534133
ORACLE (hindsight: exit at max close),REGN,2026-04-29,ENTER_NOW,2.35,686.265,ORACLE,5,0.05068739888085326,38.01554916063994,32.01554916063994
ORACLE (hindsight: exit at max close),CAH,2026-04-30,ENTER_NOW,1.63,188.3,ORACLE,2,0.04652149526603153,34.89112144952365,28.891121449523652
ORACLE (hindsight: exit at max close),WTW,2026-04-30,ENTER_NOW,2.24,248.99,ORACLE,2,0.04429892370646157,33.22419277984618,27.224192779846177
ORACLE (hindsight: exit at max close),JLL,2026-04-30,ENTER_NOW,1.75,313.78,ORACLE,5,0.045509584927636494,34.13218869572737,28.132188695727372
ORACLE (hindsight: exit at max close),CLX,2026-05-01,ENTER_LIMIT,1.86,87.805,ORACLE,5,0.049598583931545676,37.19893794865926,31.198937948659257
