tp_pct,sl_pct,n,n_tp,n_sl,n_timeout,total_gross_eur,total_net_eur,roi,win_rate
0.035,0.1,18,12,0,6,226.24397987155686,118.24397987155683,0.008758813323819024,0.6666666666666666
0.035,0.105,18,12,0,6,226.24397987155686,118.24397987155683,0.008758813323819024,0.6666666666666666
0.035,0.11,18,12,0,6,226.24397987155686,118.24397987155683,0.008758813323819024,0.6666666666666666
0.035,0.115,18,12,0,6,226.24397987155686,118.24397987155683,0.008758813323819024,0.6666666666666666
0.035,0.12,18,12,0,6,226.24397987155686,118.24397987155683,0.008758813323819024,0.6666666666666666
0.035,0.125,18,12,0,6,226.24397987155686,118.24397987155683,0.008758813323819024,0.6666666666666666
0.035,0.13,18,12,0,6,226.24397987155686,118.24397987155683,0.008758813323819024,0.6666666666666666
0.035,0.135,18,12,0,6,226.24397987155686,118.24397987155683,0.008758813323819024,0.6666666666666666
0.035,0.14,18,12,0,6,226.24397987155686,118.24397987155683,0.008758813323819024,0.6666666666666666
0.035,0.145,18,12,0,6,226.24397987155686,118.24397987155683,0.008758813323819024,0.6666666666666666
0.035,0.15,18,12,0,6,226.24397987155686,118.24397987155683,0.008758813323819024,0.6666666666666666
0.04,0.01,18,5,12,1,59.99997249016393,-48.00002750983607,-0.0035555575933211908,0.2777777777777778
0.04,0.015,18,6,9,3,74.13740611979827,-33.86259388020173,-0.00250834028742235,0.3333333333333333
0.04,0.02,18,6,9,3,40.38740611979827,-67.61259388020173,-0.005008340287422351,0.3333333333333333
0.04,0.025,18,7,7,4,67.32209873437768,-40.677901265622324,-0.0030131778715275794,0.3888888888888889
0.04,0.03,18,7,7,4,41.072098734377676,-66.92790126562232,-0.004957622315972024,0.3888888888888889
0.04,0.035,18,7,7,4,14.822098734377644,-93.17790126562232,-0.006902066760416469,0.3888888888888889
0.04,0.04,18,8,6,4,48.572098734377676,-59.427901265622324,-0.004402066760416468,0.4444444444444444
0.04,0.045,18,9,4,5,96.04712214222447,-11.952877857775547,-0.0008853983598352258,0.5
0.04,0.05,18,9,4,5,81.04712214222447,-26.952877857775547,-0.0019965094709463367,0.5
0.04,0.055,18,9,4,5,66.04712214222447,-41.95287785777555,-0.003107620582057448,0.5
0.04,0.06,18,9,4,5,51.04712214222447,-56.95287785777555,-0.004218731693168559,0.5
0.04,0.065,18,9,4,5,36.04712214222447,-71.95287785777555,-0.00532984280427967,0.5
0.04,0.07,18,9,3,6,43.42487699313382,-64.57512300686614,-0.004783342444953047,0.5
0.04,0.075,18,9,2,7,61.92867248613622,-46.071327513863764,-0.0034126909269528716,0.5
0.04,0.08,18,9,2,7,54.42867248613621,-53.571327513863764,-0.003968246482508427,0.5
0.04,0.085,18,10,1,7,140.67867248613624,32.67867248613622,0.0024206424063804607,0.5555555555555556
0.04,0.09,18,10,1,7,136.92867248613624,28.92867248613622,0.002142864628602683,0.5555555555555556
0.04,0.095,18,11,0,7,234.42867248613618,126.42867248613622,0.009365086850824905,0.6111111111111112
0.04,0.1,18,11,0,7,234.42867248613618,126.42867248613622,0.009365086850824905,0.6111111111111112
0.04,0.105,18,11,0,7,234.42867248613618,126.42867248613622,0.009365086850824905,0.6111111111111112
0.04,0.11,18,11,0,7,234.42867248613618,126.42867248613622,0.009365086850824905,0.6111111111111112
0.04,0.115,18,11,0,7,234.42867248613618,126.42867248613622,0.009365086850824905,0.6111111111111112
0.04,0.12,18,11,0,7,234.42867248613618,126.42867248613622,0.009365086850824905,0.6111111111111112
0.04,0.125,18,11,0,7,234.42867248613618,126.42867248613622,0.009365086850824905,0.6111111111111112
0.04,0.13,18,11,0,7,234.42867248613618,126.42867248613622,0.009365086850824905,0.6111111111111112
0.04,0.135,18,11,0,7,234.42867248613618,126.42867248613622,0.009365086850824905,0.6111111111111112
0.04,0.14,18,11,0,7,234.42867248613618,126.42867248613622,0.009365086850824905,0.6111111111111112
0.04,0.145,18,11,0,7,234.42867248613618,126.42867248613622,0.009365086850824905,0.6111111111111112
0.04,0.15,18,11,0,7,234.42867248613618,126.42867248613622,0.009365086850824905,0.6111111111111112
0.045,0.01,18,5,12,1,78.74997249016393,-29.250027509836073,-0.0021666687044323016,0.2777777777777778
0.045,0.015,18,6,9,3,96.63740611979827,-11.362593880201729,-0.0008416736207556836,0.3333333333333333
0.045,0.02,18,6,9,3,62.88740611979827,-45.11259388020173,-0.0033416736207556837,0.3333333333333333
0.045,0.025,18,7,7,4,93.57209873437768,-14.427901265622324,-0.0010687334270831352,0.3888888888888889
0.045,0.03,18,7,7,4,67.32209873437768,-40.677901265622324,-0.0030131778715275794,0.3888888888888889
0.045,0.035,18,7,7,4,41.07209873437765,-66.92790126562232,-0.004957622315972024,0.3888888888888889
0.045,0.04,18,8,6,4,78.57209873437768,-29.427901265622324,-0.0021798445381942463,0.4444444444444444
0.045,0.045,18,9,4,5,129.79712214222448,21.797122142224467,0.0016146016401647754,0.5
0.045,0.05,18,9,4,5,114.79712214222448,6.7971221422244525,0.0005034905290536632,0.5
0.045,0.055,18,9,4,5,99.79712214222447,-8.202877857775547,-0.0006076205820574479,0.5
0.045,0.06,18,9,4,5,84.79712214222447,-23.202877857775547,-0.001718731693168559,0.5
